,x,y,z
787,133579.5385,1415599.5042500002,96.92290000000001
788,133576.21095,1415600.31555,96.90154999999999
789,133575.60705,1415600.4619500001,96.88325
790,133575.3051,1415600.5351500001,96.88325
791,133574.7012,1415600.6785,96.86189999999999
792,133574.3901,1415600.7578,96.89545
793,133574.08815,1415600.831,96.88935000000001
794,133573.78925,1415600.9011499998,96.86495000000001
795,133573.49035,1415600.97435,96.8497
796,133573.18839999998,1415601.0445,96.8558
797,133572.5784,1415601.1970000002,96.8741
798,133571.97145,1415601.3464499998,96.88019999999999
799,133571.36755,1415601.49285,96.89545
800,133571.06865,1415601.56605,96.8558
801,133570.46475,1415601.71245,96.85884999999999
802,133568.95805,1415602.0754,96.8131
803,133568.66220000002,1415602.14555,96.7887
804,133568.0522,1415602.295,96.81005
805,133567.14635,1415602.5145999999,96.7948
806,133567.125,1415602.0936999999,96.75210000000001
807,133567.72280000002,1415601.95035,96.76429999999999
808,133568.32365,1415601.8039499999,96.807
809,133568.9245,1415601.6545000002,96.8253
810,133569.52534999998,1415601.51115,96.8253
811,133569.83645,1415601.4288,96.75210000000001
812,133570.1323,1415601.3586499998,96.7887
813,133570.73315000001,1415601.2153,96.8497
814,133571.3279,1415601.07195,96.8741
815,133571.6329,1415600.9926500001,96.85884999999999
816,133572.22765,1415600.8554,96.93815
817,133572.8468,1415600.6937499999,96.8314
818,133573.44765,1415600.5443,96.8436
819,133574.94215,1415600.1783,96.91375
820,133575.2563,1415600.10205,96.87105
821,133575.5552,1415600.0258000002,96.86189999999999
822,133576.45190000001,1415599.8092500002,96.8985
823,133576.76605,1415599.7269,96.83749999999999
824,133577.07105,1415599.65065,96.82225
825,133578.2636,1415599.36395,96.91985
826,133579.4653,1415599.0681,96.97779999999999
827,133581.29835,1415598.6167000001,96.92595
828,133581.90835,1415598.4642,96.90765
829,133582.2164,1415598.3849,96.87715
830,133582.8264,1415598.23545,96.87105
831,133583.1192,1415598.16835,96.929
832,133583.42725,1415598.08905,96.88935000000001
833,133584.3392,1415597.86335,96.89545
834,133584.63809999998,1415597.79625,96.9534
835,133584.94005,1415597.72,96.9534
836,133585.5592,1415597.5614,96.8985
837,133587.0842,1415597.18625,96.8863
838,133588.30419999998,1415596.8873500002,96.91375
839,133588.92335,1415596.72875,96.87105
840,133589.52419999999,1415596.5854,96.92595
